invoice_number,invoice_date,po_number,supplier_id,supplier_name,material_code,line_item_description,quantity_invoiced,unit,unit_price_idr,line_total_idr,subtotal_idr,tax_percent,tax_amount_idr,total_invoice_idr,payment_terms,due_date,payment_status,payment_date,payment_method,payment_reference,discrepancy_flag,discrepancy_type,discrepancy_notes,validated_by,validation_date
INV-2024-123,2023-07-22,PO-2024-024,SUP-011,PT Chemical Works Indonesia,EXC-001,Lactose Monohydrate,5000,KG,20284,101420000,101420000,11,11156200,112576200,Net 45,2023-09-05,Paid,2023-08-31,Bank Transfer,TRF-2024-999,No,None,Perfect match with PO,Budi Finance,2023-07-23
INV-2024-124,2023-07-24,PO-2024-025,SUP-008,PT Global Pack Industries,PKG-008,Leaflet (Patient Information),15000,Unit,110,1650000,1650000,11,181500,1831500,Net 45,2023-09-07,Paid,2023-09-04,Bank Transfer,TRF-2024-335,No,None,Perfect match with PO,Budi Finance,2023-07-25
INV-2024-125,2023-07-19,PO-2024-027,SUP-003,PT Dexa Medica,RAW-004,Ibuprofen,3000,KG,207326,621978000,621978000,11,68417580,690395580,Net 45,2023-09-02,Paid,2023-08-28,Bank Transfer,TRF-2024-733,No,None,Perfect match with PO,Budi Finance,2023-07-20
INV-2024-126,2023-07-23,PO-2024-028,SUP-011,PT Chemical Works Indonesia,EXC-001,Colloidal Silicon Dioxide,1946,KG,203859,396709614,396709614,11,43638057,440347671,Net 45,2023-09-06,Pending,,,,Yes,Quantity Variance,Invoiced 1946 KG but PO was 2000 KG (-54 KG short delivery),,
INV-2024-127,2023-08-06,PO-2024-029,SUP-005,PT Phapros,RAW-003,Ascorbic Acid (Vitamin C),2000,KG,46612,93224000,93224000,11,10254640,103478640,Net 30,2023-09-05,Paid,2023-09-01,Bank Transfer,TRF-2024-707,No,None,Matched with PO,Budi Finance,2023-08-07
INV-2024-128,2023-07-25,PO-2024-030,SUP-003,PT Dexa Medica,RAW-001,Amoxicillin Trihydrate,10000,KG,155860,1558600000,1558600000,11,171446000,1730046000,Net 45,2023-09-08,Paid,2023-09-06,Bank Transfer,TRF-2024-739,No,None,Perfect match with PO,Budi Finance,2023-07-26
INV-2024-129,2023-07-25,PO-2024-031,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,3000,KG,64075,192225000,192225000,11,21144750,213369750,Net 45,2023-09-08,Paid,2023-09-07,Bank Transfer,TRF-2024-598,No,None,Matched with PO,Budi Finance,2023-07-26
INV-2024-130,2023-07-26,PO-2024-032,SUP-008,PT Global Pack Industries,PKG-003,HDPE Bottle 100ml,10000,Unit,3005,30050000,30050000,11,3305500,33355500,Net 45,2023-09-09,Paid,2023-09-08,Bank Transfer,TRF-2024-683,No,None,Perfect match with PO,Citra Finance,2023-07-27
INV-2024-131,2023-07-27,PO-2024-033,SUP-006,PT Indo Packaging Solutions,PKG-003,HDPE Bottle 100ml,1,Unit,3039,3039,3039,11,334,3373,Net 30,2023-08-26,Pending,,,,Yes,Unmatched Item,Additional charge not in original PO - needs approval,,
INV-2024-132,2023-08-06,PO-2024-034,SUP-004,PT Kalbe Farma,RAW-008,Ciprofloxacin,8000,KG,446294,3570352000,3570352000,11,392738720,3963090720,Net 30,2023-09-05,Paid,2023-08-31,Bank Transfer,TRF-2024-392,No,None,Matched with PO,Citra Finance,2023-08-07
INV-2024-133,2023-07-27,PO-2024-035,SUP-008,PT Global Pack Industries,PKG-004,Glass Vial 10ml,25000,Unit,4969,124225000,124225000,11,13664750,137889750,Net 45,2023-09-10,Paid,2023-09-09,Bank Transfer,TRF-2024-609,No,None,Matched with PO,Ani Finance,2023-07-28
INV-2024-134,2023-07-24,PO-2024-036,SUP-006,PT Indo Packaging Solutions,PKG-004,Glass Vial 10ml,10000,Unit,4896,48960000,48960000,11,5385600,54345600,Net 30,2023-08-23,Paid,2023-08-18,Bank Transfer,TRF-2024-167,No,None,Perfect match with PO,Budi Finance,2023-07-25
INV-2024-135,2023-08-11,PO-2024-037,SUP-005,PT Phapros,RAW-007,Omeprazole,8000,KG,2019485,16155880000,16155880000,11,1777146800,17933026800,Net 30,2023-09-10,Paid,2023-09-09,Bank Transfer,TRF-2024-799,No,None,Perfect match with PO,Budi Finance,2023-08-12
INV-2024-136,2023-07-26,PO-2024-038,SUP-010,PT Pharma Excipient Supply,EXC-001,Croscarmellose Sodium,1000,KG,129797,129797000,129797000,11,14277670,144074670,Net 60,2023-09-24,Paid,2023-09-19,Bank Transfer,TRF-2024-750,No,None,Perfect match with PO,Citra Finance,2023-07-27
INV-2024-137,2023-07-26,PO-2024-039,SUP-002,PT Indofarma Global Medika,RAW-010,Dexamethasone,10000,KG,340729,3407290000,3407290000,11,374801900,3782091900,Net 60,2023-09-24,Paid,2023-09-22,Bank Transfer,TRF-2024-872,No,None,Matches PO exactly,Ani Finance,2023-07-27
INV-2024-138,2023-07-30,PO-2024-040,SUP-010,PT Pharma Excipient Supply,EXC-001,Talcum Powder,3000,KG,14751,44253000,44253000,11,4867830,49120830,Net 60,2023-09-28,Paid,2023-09-26,Bank Transfer,TRF-2024-877,No,None,Matches PO exactly,Citra Finance,2023-07-31
INV-2024-139,2023-07-25,PO-2024-041,SUP-012,PT Brataco,EXC-001,Colloidal Silicon Dioxide,2000,KG,194523,389046000,389046000,11,42795060,431841060,Net 45,2023-09-08,Paid,2023-09-03,Bank Transfer,TRF-2024-500,No,None,Matched with PO,Ani Finance,2023-07-26
INV-2024-140,2023-07-31,PO-2024-042,SUP-001,PT Kimia Farma Trading & Distribution,RAW-007,Omeprazole,10000,KG,1962886,19628860000,19628860000,11,2159174600,21788034600,Net 60,2023-09-29,Paid,2023-09-28,Bank Transfer,TRF-2024-342,No,None,Matches PO exactly,Ani Finance,2023-08-01
INV-2024-141,2023-08-11,PO-2024-043,SUP-004,PT Kalbe Farma,RAW-007,Omeprazole,10000,KG,1999212,19992120000,19992120000,11,2199133200,22191253200,Net 30,2023-09-10,Paid,2023-09-05,Bank Transfer,TRF-2024-321,No,None,Matches PO exactly,Budi Finance,2023-08-12
INV-2024-142,2023-07-30,PO-2024-044,SUP-011,PT Chemical Works Indonesia,EXC-001,Talcum Powder,2000,KG,15467,30934000,30934000,11,3402740,34336740,Net 45,2023-09-13,Paid,2023-09-08,Bank Transfer,TRF-2024-567,No,None,Matched with PO,Ani Finance,2023-07-31
INV-2024-143,2023-07-27,PO-2024-045,SUP-011,PT Chemical Works Indonesia,EXC-001,Talcum Powder,2000,KG,14299,28598000,28598000,11,3145780,31743780,Net 45,2023-09-10,Paid,2023-09-08,Bank Transfer,TRF-2024-931,No,None,Matches PO exactly,Ani Finance,2023-07-28
INV-2024-144,2023-07-29,PO-2024-046,SUP-006,PT Indo Packaging Solutions,PKG-001,PVC/PVDC Blister Pack 10x10,20000,Unit,510,10200000,10200000,11,1122000,11322000,Net 30,2023-08-28,Paid,2023-08-24,Bank Transfer,TRF-2024-430,No,None,Matched with PO,Citra Finance,2023-07-30
INV-2024-145,2023-08-12,PO-2024-047,SUP-004,PT Kalbe Farma,RAW-005,Cetirizine HCl,2000,KG,3072616,6145232000,6145232000,11,675975520,6821207520,Net 30,2023-09-11,Paid,2023-09-10,Bank Transfer,TRF-2024-256,No,None,Matched with PO,Ani Finance,2023-08-13
INV-2024-146,2023-07-30,PO-2024-048,SUP-002,PT Indofarma Global Medika,RAW-009,Salbutamol Sulfate,2000,KG,891195,1782390000,1782390000,11,196062900,1978452900,Net 60,2023-09-28,Paid,2023-09-25,Bank Transfer,TRF-2024-571,No,None,Matches PO exactly,Ani Finance,2023-07-31
INV-2024-147,2023-07-31,PO-2024-049,SUP-006,PT Indo Packaging Solutions,PKG-005,Corrugated Carton Box (Master),20000,Unit,3539,70780000,70780000,11,7785800,78565800,Net 30,2023-08-30,Paid,2023-08-29,Bank Transfer,TRF-2024-973,No,None,Matches PO exactly,Ani Finance,2023-08-01
INV-2024-148,2023-07-29,PO-2024-050,SUP-012,PT Brataco,EXC-001,Magnesium Stearate,2000,KG,34537,69074000,69074000,11,7598140,76672140,Net 45,2023-09-12,Paid,2023-09-09,Bank Transfer,TRF-2024-931,No,None,Matches PO exactly,Budi Finance,2023-07-30
INV-2024-149,2023-07-31,PO-2024-051,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,1000,KG,131860,131860000,131860000,11,14504600,146364600,Net 45,2023-09-14,Paid,2023-09-11,Bank Transfer,TRF-2024-470,No,None,Matched with PO,Citra Finance,2023-08-01
INV-2024-150,2023-08-01,PO-2024-052,SUP-010,PT Pharma Excipient Supply,EXC-001,Magnesium Stearate,3000,KG,34094,102282000,102282000,11,11251020,113533020,Net 60,2023-09-30,Paid,2023-09-28,Bank Transfer,TRF-2024-361,No,None,Matched with PO,Budi Finance,2023-08-02
INV-2024-151,2023-08-01,PO-2024-053,SUP-010,PT Pharma Excipient Supply,EXC-001,Starch (Pregelatinized),5000,KG,18395,91975000,91975000,11,10117250,102092250,Net 60,2023-09-30,Paid,2023-09-29,Bank Transfer,TRF-2024-591,No,None,Perfect match with PO,Ani Finance,2023-08-02
INV-2024-152,2023-07-30,PO-2024-054,SUP-011,PT Chemical Works Indonesia,EXC-001,Talcum Powder,1000,KG,15250,15250000,15250000,11,1677500,16927500,Net 45,2023-09-13,Paid,2023-09-09,Bank Transfer,TRF-2024-554,No,None,Matched with PO,Citra Finance,2023-07-31
INV-2024-153,2023-08-01,PO-2024-055,SUP-002,PT Indofarma Global Medika,RAW-004,Ibuprofen,8000,KG,196409,1571272000,1571272000,11,172839920,1744111920,Net 60,2023-09-30,Paid,2023-09-29,Bank Transfer,TRF-2024-573,No,None,Perfect match with PO,Citra Finance,2023-08-02
INV-2024-154,2023-08-02,PO-2024-056,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,5000,KG,60406,302030000,302030000,11,33223300,335253300,Net 45,2023-09-16,Paid,2023-09-14,Bank Transfer,TRF-2024-484,No,None,Perfect match with PO,Citra Finance,2023-08-03
INV-2024-155,2023-07-31,PO-2024-057,SUP-012,PT Brataco,EXC-001,Lactose Monohydrate,3000,KG,21247,63741000,63741000,11,7011510,70752510,Net 45,2023-09-14,Paid,2023-09-10,Bank Transfer,TRF-2024-561,No,None,Perfect match with PO,Ani Finance,2023-08-01
INV-2024-156,2023-08-02,PO-2024-058,SUP-010,PT Pharma Excipient Supply,EXC-001,Microcrystalline Cellulose (Avicel PH102),3000,KG,26216,78648000,78648000,11,8651280,87299280,Net 60,2023-10-01,Paid,2023-09-27,Bank Transfer,TRF-2024-791,No,None,Matched with PO,Ani Finance,2023-08-03
INV-2024-157,2023-08-06,PO-2024-059,SUP-008,PT Global Pack Industries,PKG-001,PVC/PVDC Blister Pack 10x10,25000,Unit,499,12475000,12475000,11,1372250,13847250,Net 45,2023-09-20,Paid,2023-09-18,Bank Transfer,TRF-2024-314,No,None,Perfect match with PO,Citra Finance,2023-08-07
INV-2024-158,2023-08-06,PO-2024-060,SUP-008,PT Global Pack Industries,PKG-003,HDPE Bottle 100ml,30000,Unit,2956,88680000,88680000,11,9754800,98434800,Net 45,2023-09-20,Paid,2023-09-15,Bank Transfer,TRF-2024-425,No,None,Matched with PO,Budi Finance,2023-08-07
INV-2024-159,2023-07-31,PO-2024-061,SUP-012,PT Brataco,EXC-001,Povidone K30,1000,KG,65700,65700000,65700000,11,7227000,72927000,Net 45,2023-09-14,Paid,2023-09-10,Bank Transfer,TRF-2024-685,No,None,Matches PO exactly,Citra Finance,2023-08-01
INV-2024-160,2023-08-15,PO-2024-062,SUP-007,PT Multi Packaging Indonesia,PKG-008,Leaflet (Patient Information),15000,Unit,105,1575000,1575000,11,173250,1748250,Net 45,2023-09-29,Paid,2023-09-25,Bank Transfer,TRF-2024-917,No,None,Matches PO exactly,Ani Finance,2023-08-16
INV-2024-161,2023-08-20,PO-2024-063,SUP-005,PT Phapros,RAW-008,Ciprofloxacin,2000,KG,444239,888478000,888478000,11,97732580,986210580,Net 30,2023-09-19,Paid,2023-09-17,Bank Transfer,TRF-2024-612,No,None,Matches PO exactly,Budi Finance,2023-08-21
INV-2024-162,2023-08-01,PO-2024-064,SUP-006,PT Indo Packaging Solutions,PKG-005,Corrugated Carton Box (Master),30000,Unit,3610,108300000,108300000,11,11913000,120213000,Net 30,2023-08-31,Paid,2023-08-30,Bank Transfer,TRF-2024-080,No,None,Matched with PO,Ani Finance,2023-08-02
INV-2024-163,2023-08-01,PO-2024-065,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,3000,KG,61169,183507000,183507000,11,20185770,203692770,Net 45,2023-09-15,Paid,2023-09-14,Bank Transfer,TRF-2024-681,No,None,Matches PO exactly,Citra Finance,2023-08-02
INV-2024-164,2023-08-08,PO-2024-066,SUP-001,PT Kimia Farma Trading & Distribution,RAW-010,Dexamethasone,8000,KG,352756,2822048000,2822048000,11,310425280,3132473280,Net 60,2023-10-07,Paid,2023-10-05,Bank Transfer,TRF-2024-551,No,None,Matched with PO,Ani Finance,2023-08-09
INV-2024-165,2023-08-07,PO-2024-067,SUP-008,PT Global Pack Industries,PKG-002,Aluminum Foil Strip (Cold Form),30000,Roll,124247,3727410000,3727410000,11,410015100,4137425100,Net 45,2023-09-21,Paid,2023-09-16,Bank Transfer,TRF-2024-133,No,None,Matched with PO,Budi Finance,2023-08-08
INV-2024-166,2023-08-07,PO-2024-068,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,861,8610000,8610000,11,947100,9557100,Net 30,2023-09-06,Paid,2023-09-02,Bank Transfer,TRF-2024-907,No,None,Matches PO exactly,Citra Finance,2023-08-08
INV-2024-167,2023-08-06,PO-2024-069,SUP-008,PT Global Pack Industries,PKG-008,Leaflet (Patient Information),15000,Unit,112,1680000,1680000,11,184800,1864800,Net 45,2023-09-20,Paid,2023-09-17,Bank Transfer,TRF-2024-207,No,None,Matched with PO,Budi Finance,2023-08-07
INV-2024-168,2023-08-20,PO-2024-070,SUP-005,PT Phapros,RAW-005,Cetirizine HCl,8000,KG,2959710,23677680000,23677680000,11,2604544800,26282224800,Net 30,2023-09-19,Paid,2023-09-16,Bank Transfer,TRF-2024-654,No,None,Perfect match with PO,Ani Finance,2023-08-21
INV-2024-169,2023-08-04,PO-2024-071,SUP-011,PT Chemical Works Indonesia,EXC-001,Lactose Monohydrate,5000,KG,20293,101465000,101465000,11,11161150,112626150,Net 45,2023-09-18,Paid,2023-09-15,Bank Transfer,TRF-2024-646,No,None,Matched with PO,Citra Finance,2023-08-05
INV-2024-170,2023-08-08,PO-2024-072,SUP-010,PT Pharma Excipient Supply,EXC-001,Lactose Monohydrate,2000,KG,20473,40946000,40946000,11,4504060,45450060,Net 60,2023-10-07,Paid,2023-10-02,Bank Transfer,TRF-2024-832,No,None,Matched with PO,Budi Finance,2023-08-09
INV-2024-171,2023-08-06,PO-2024-073,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,1000,KG,60167,60167000,60167000,11,6618370,66785370,Net 45,2023-09-20,Paid,2023-09-17,Bank Transfer,TRF-2024-726,No,None,Matched with PO,Ani Finance,2023-08-07
INV-2024-172,2023-08-08,PO-2024-074,SUP-008,PT Global Pack Industries,PKG-004,Glass Vial 10ml,20000,Unit,5099,101980000,101980000,11,11217800,113197800,Net 45,2023-09-22,Paid,2023-09-21,Bank Transfer,TRF-2024-525,No,None,Perfect match with PO,Citra Finance,2023-08-09
INV-2024-173,2023-08-15,PO-2024-075,SUP-007,PT Multi Packaging Indonesia,PKG-001,PVC/PVDC Blister Pack 10x10,20000,Unit,494,9880000,9880000,11,1086800,10966800,Net 45,2023-09-29,Paid,2023-09-26,Bank Transfer,TRF-2024-982,No,None,Perfect match with PO,Budi Finance,2023-08-16
INV-2024-174,2023-08-24,PO-2024-076,SUP-004,PT Kalbe Farma,RAW-008,Ciprofloxacin,5000,KG,441511,2207555000,2207555000,11,242831050,2450386050,Net 30,2023-09-23,Paid,2023-09-19,Bank Transfer,TRF-2024-567,No,None,Matches PO exactly,Ani Finance,2023-08-25
INV-2024-175,2023-08-05,PO-2024-077,SUP-006,PT Indo Packaging Solutions,PKG-007,Desiccant Silica Gel 1g,20000,Unit,209,4180000,4180000,11,459800,4639800,Net 30,2023-09-04,Paid,2023-09-01,Bank Transfer,TRF-2024-499,No,None,Matches PO exactly,Ani Finance,2023-08-06
INV-2024-176,2023-08-16,PO-2024-078,SUP-007,PT Multi Packaging Indonesia,PKG-002,Aluminum Foil Strip (Cold Form),10000,Roll,120157,1201570000,1201570000,11,132172700,1333742700,Net 45,2023-09-30,Paid,2023-09-29,Bank Transfer,TRF-2024-431,No,None,Perfect match with PO,Budi Finance,2023-08-17
INV-2024-177,2023-08-05,PO-2024-079,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,20000,Unit,936,18720000,18720000,11,2059200,20779200,Net 30,2023-09-04,Paid,2023-09-01,Bank Transfer,TRF-2024-169,No,None,Matched with PO,Citra Finance,2023-08-06
INV-2024-178,2023-08-08,PO-2024-080,SUP-001,PT Kimia Farma Trading & Distribution,RAW-006,Metformin HCl,10000,KG,73871,738710000,738710000,11,81258100,819968100,Net 60,2023-10-07,Paid,2023-10-05,Bank Transfer,TRF-2024-971,No,None,Perfect match with PO,Citra Finance,2023-08-09
INV-2024-179,2023-08-22,PO-2024-081,SUP-005,PT Phapros,RAW-001,Amoxicillin Trihydrate,5000,KG,154906,774530000,774530000,11,85198300,859728300,Net 30,2023-09-21,Paid,2023-09-18,Bank Transfer,TRF-2024-319,No,None,Matches PO exactly,Budi Finance,2023-08-23
INV-2024-180,2023-08-13,PO-2024-082,SUP-001,PT Kimia Farma Trading & Distribution,RAW-001,Amoxicillin Trihydrate,10000,KG,156688,1566880000,1566880000,11,172356800,1739236800,Net 60,2023-10-12,Paid,2023-10-10,Bank Transfer,TRF-2024-275,No,None,Matched with PO,Ani Finance,2023-08-14
INV-2024-181,2023-08-21,PO-2024-083,SUP-004,PT Kalbe Farma,RAW-003,Ascorbic Acid (Vitamin C),1859,KG,45459,84508281,84508281,11,9295910,93804191,Net 30,2023-09-20,Pending,,,,Yes,Quantity Variance,Invoiced 1859 KG but PO was 2000 KG (-141 KG short delivery),,
INV-2024-182,2023-08-07,PO-2024-084,SUP-012,PT Brataco,EXC-001,Povidone K30,1000,KG,62907,62907000,62907000,11,6919770,69826770,Net 45,2023-09-21,Paid,2023-09-18,Bank Transfer,TRF-2024-450,No,None,Perfect match with PO,Budi Finance,2023-08-08
INV-2024-183,2023-08-10,PO-2024-085,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,1000,KG,130774,130774000,130774000,11,14385140,145159140,Net 45,2023-09-24,Paid,2023-09-20,Bank Transfer,TRF-2024-042,No,None,Matched with PO,Citra Finance,2023-08-11
INV-2024-184,2023-08-25,PO-2024-086,SUP-004,PT Kalbe Farma,RAW-002,Paracetamol,5000,KG,90587,452935000,452935000,11,49822850,502757850,Net 30,2023-09-24,Paid,2023-09-21,Bank Transfer,TRF-2024-455,No,None,Perfect match with PO,Budi Finance,2023-08-26
INV-2024-185,2023-08-17,PO-2024-087,SUP-001,PT Kimia Farma Trading & Distribution,RAW-009,Salbutamol Sulfate,5000,KG,933570,4667850000,4667850000,11,513463500,5181313500,Net 60,2023-10-16,Paid,2023-10-15,Bank Transfer,TRF-2024-669,No,None,Matches PO exactly,Citra Finance,2023-08-18
INV-2024-186,2023-08-13,PO-2024-088,SUP-001,PT Kimia Farma Trading & Distribution,RAW-002,Paracetamol,8000,KG,89195,713560000,713560000,11,78491600,792051600,Net 60,2023-10-12,Paid,2023-10-09,Bank Transfer,TRF-2024-860,No,None,Matched with PO,Citra Finance,2023-08-14
INV-2024-187,2023-08-10,PO-2024-089,SUP-003,PT Dexa Medica,RAW-010,Dexamethasone,2000,KG,341310,682620000,682620000,11,75088200,757708200,Net 45,2023-09-24,Paid,2023-09-20,Bank Transfer,TRF-2024-601,No,None,Matched with PO,Ani Finance,2023-08-11
INV-2024-188,2023-08-11,PO-2024-090,SUP-012,PT Brataco,EXC-001,Povidone K30,1000,KG,63830,63830000,63830000,11,7021300,70851300,Net 45,2023-09-25,Paid,2023-09-24,Bank Transfer,TRF-2024-116,No,None,Matched with PO,Ani Finance,2023-08-12
